"Штиль, безветрие","Ветер, дующий с севера","Ветер, дующий с северо-северо-востока","Ветер, дующий с северо-востока","Ветер, дующий с востоко-северо-востока","Ветер, дующий с востока","Ветер, дующий с востоко-юго-востока","Ветер, дующий с юго-востока","Ветер, дующий с юго-юго-востока","Ветер, дующий с юга","Ветер, дующий с юго-юго-запада","Ветер, дующий с юго-запада","Ветер, дующий с западо-юго-запада","Ветер, дующий с запада","Ветер, дующий с западо-северо-запада","Ветер, дующий с северо-запада","Ветер, дующий с северо-северо-запада","Переменное направление"
"STILL","N","NNE","NE","ENE","E","ESE","SE","SSE","S","SSW","SW","WSW","W","WNW","NW","NNW","V"
-1,0,22.5,45,67.5,90,112.5,135,157.5,180,202.5,225,247.5,270,292.5,315,337.5,360
